userid,Q26_Self_Report_Mins,Q26_Actual_Usage_Mins
0,360,668
1,360,616
2,360,582
3,360,566
4,150,339
5,150,326
6,240,402
7,300,453
8,510,662
9,240,382
10,180,318
11,120,251
12,150,279
13,120,237
14,120,228
15,180,286
16,240,336
17,180,268
18,300,380
19,360,438
20,300,375
21,240,315
22,240,307
23,180,244
24,120,168
25,180,212
26,180,207
27,240,267
28,120,143
29,180,199
30,180,198
31,150,167
32,180,196
33,60,65
34,150,142
35,300,290
36,420,409
37,150,127
38,135,111
39,210,177
40,120,84
41,360,318
42,180,136
43,90,44
44,120,73
45,180,124
46,180,122
47,180,120
48,195,132
49,120,57
50,360,294
51,180,111
52,120,47
53,195,121
54,300,226
55,150,70
56,480,398
57,240,149
58,360,267
59,180,83
60,240,140
61,180,73
62,210,97
63,120,6
64,330,212
65,300,181
66,330,201
67,180,46
68,420,275
69,435,283
70,180,27
71,240,87
72,225,71
73,240,83
74,180,22
75,180,22
76,240,81
77,240,70
78,480,305
79,270,92
80,240,60
81,375,191
82,465,277
83,240,47
84,360,155
85,240,35
86,465,259
87,360,136
88,300,64
89,300,51
90,540,278
91,330,35
92,600,271
93,720,298
94,525,52
